,DateTime,ID,Length,Width,Height,Equipment_ID,FSALDU,Service,Barcode_Type,FSA,Destination,FeedDate,FeedTime,Maxlength,Hour,Volume,Size,Shift,Fine_Dest
77,2022/08/04 7:53,5092HNR758710084833849855100000,970,135,110,1260,H7N5R8,2,NGB,H7N,Montreal City,2022/08/04,7:53:05,38.18897638,7,879,4,2,Montreal City
78,2022/08/04 7:53,5092JHT125710084833849903900000,1005,220,214,1260,J1H2T5,2,NGB,J1H,Montreal Fwd,2022/08/04,7:53:17,39.56692913,7,2887,4,2,Montreal Fwd
79,2022/08/04 7:53,510CMRT080700542087055122002100,1215,330,226,1260,M0R8T0,C,NGB,M0R,Bulk Returns,2022/08/04,7:53:32,47.83464567,7,5530,4,2,Bulk Returns
80,2022/08/04 7:53,5092MKG602200501115052328700000,1255,240,214,1260,M6K0G2,2,NGB,M6K,YDC,2022/08/04,7:53:51,49.40944882,7,3933,4,2,YDC
81,2022/08/04 7:53,5092JLB010710084833849900800000,1080,165,162,1260,J0L1B0,2,NGB,J0L,Montreal Fwd,2022/08/04,7:53:58,42.51968504,7,1762,4,2,Montreal Fwd
82,2022/08/04 7:54,SYN126020220804003697,225,200,216,1260,,,SYN,,,2022/08/04,7:54:02,8.858267717,7,593,1,2,
83,2022/08/04 7:54,510CMRB055400685962105099202100,305,210,108,1260,M0R5B5,C,NGB,M0R,Bulk Returns,2022/08/04,7:54:04,12.00787402,7,422,2,2,Bulk Returns
84,2022/08/04 7:54,SYN126020220804003698,380,270,112,1260,,,SYN,,,2022/08/04,7:54:07,14.96062992,7,701,2,2,
85,2022/08/04 7:54,5092NVR933895819095656040709000,410,320,220,1260,N9V3R3,2,NGB,N9V,London City and Windsor,2022/08/04,7:54:11,16.14173228,7,1761,2,2,London City and Windsor
86,2022/08/04 7:54,5092THV205400766278206042200000,420,320,222,1260,T2H0V5,2,NGB,T2H,Calg,2022/08/04,7:54:15,16.53543307,7,1821,2,2,Calgary EP/RG
87,2022/08/04 7:54,510CMRT080700542087087819802100,235,160,140,1260,M0R8T0,C,NGB,M0R,Bulk Returns,2022/08/04,7:54:17,9.251968504,7,321,1,2,Bulk Returns
88,2022/08/04 7:54,SYN126020220804003699,315,265,222,1260,,,SYN,,,2022/08/04,7:54:20,12.4015748,7,1131,2,2,
89,2022/08/04 7:54,5092JHW948905323081244033509000,475,390,534,1260,J9H4W8,2,NGB,J9H,Ottawa,2022/08/04,7:54:23,21.02362205,7,6037,2,2,Ottawa
90,2022/08/04 7:54,510CMRJ030102855516789449602100,390,275,260,1260,M0R3J0,C,NGB,M0R,Bulk Returns,2022/08/04,7:54:25,15.35433071,7,1702,2,2,Bulk Returns
91,2022/08/04 7:54,5093TBC455010307087433803100100,545,355,396,1260,T4B5C5,3,NGB,T4B,Calg,2022/08/04,7:54:31,21.45669291,7,4675,2,2,Calgary EP/RG
92,2022/08/04 7:54,SYN126020220804003700,605,440,266,1260,,,SYN,,,2022/08/04,7:54:41,23.81889764,7,4321,2,2,
93,2022/08/04 7:54,SYN126020220804003701,800,480,234,1260,,,SYN,,,2022/08/04,7:54:47,31.49606299,7,5483,3,2,
94,2022/08/04 7:55,SYN126020220804003702,470,355,82,1260,,,SYN,,,2022/08/04,7:55:02,18.50393701,7,835,2,2,
95,2022/08/04 7:55,5093HJN312106439800005917900000,1290,165,162,1260,H3J1N2,3,NGB,H3J,Montreal City,2022/08/04,7:55:13,50.78740157,7,2104,4,2,Montreal City
96,2022/08/04 7:55,413LS391598641NL,495,435,84,1260,,L,292,,,2022/08/04,7:55:15,19.48818898,7,1104,2,2,
97,2022/08/04 7:55,SYN126020220804003703,400,280,126,1260,,,SYN,,,2022/08/04,7:55:17,15.7480315,7,861,2,2,
98,2022/08/04 7:55,SYN126020220804003704,1200,310,240,1260,,,SYN,,,2022/08/04,7:55:29,47.24409449,7,5448,4,2,
99,2022/08/04 7:55,SYN126020220804003705,725,510,104,1260,,,SYN,,,2022/08/04,7:55:33,28.54330709,7,2347,3,2,
100,2022/08/04 7:55,5092KAS884201310665985751900000,425,375,86,1260,K8A8S4,2,NGB,K8A,Ottawa,2022/08/04,7:55:37,16.73228346,7,836,2,2,Ottawa
101,2022/08/04 7:55,413UM619932929US,545,150,44,1260,,U,292,,,2022/08/04,7:55:39,21.45669291,7,220,2,2,
102,2022/08/04 7:55,SYN126020220804003706,470,395,44,1260,,,SYN,,,2022/08/04,7:55:42,18.50393701,7,498,2,2,
